reference_name,reference_doi,species_superorder,species_name,marine_province,location_name,lat,long,date,sex,trait_class,trait_name,standard_name,method_name,model_name,value,value_type,precision,precision_type,precision_upper,sample_size,dubious,validated,validation_type,notes,contributor_id,depth
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Female,Growth,k,Coefficient,Spines,VBFG3 ML,0.17,raw_value,,,,160,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Female,Growth,t0,Coefficient,Spines,VBFG3 ML,-0.73,raw_value,,,,160,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Pooled,Growth,Linf,Coefficient,Spines,VBFG3 ML,157,raw_value,,,,328,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Pooled,Growth,k,Coefficient,Spines,VBFG3 ML,0.12,raw_value,,,,328,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Pooled,Growth,t0,Coefficient,Spines,VBFG3 ML,-1.3,raw_value,,,,328,FALSE,0,,,,<100 
long1997,,Squalomorphii,Deania calcea,Chilean/Humboldt current coast,Peru off Bahía de Sechura,,,1966,Female,Length,Lmax-observed,cm TL,Max observed size,Observational,88.6,max,,,,1,FALSE,0,,,,200-311 
machado2000,10.1016/S0165-7836(99)00100-9,Squalomorphii,Deania calcea,Canary current coast,Southern Portuguese Coast,,,1995,Male,Length,Lmax-observed,cm TL,Max observed size,Observational,67,max,,,,1,FALSE,0,,,,400-900
machado2000,10.1016/S0165-7836(99)00100-9,Squalomorphii,Deania calcea,Canary current coast,Southern Portuguese Coast,,,1995,Female,Length,Lmax-observed,cm TL,Max observed size,Observational,86,max,,,,1,FALSE,0,,,,400-900
moura2004,10.1017/S002531540400997Xh,Holocephalimorpha,Chimaera monstrosa,Canary current coast,Portuguese Continental Shelf,,,2002-2003,Female,Reproduction,Ovarian fecundity,n,Histological observation,,6.46,mean,2.32,standard deviation,,,FALSE,0,,oocytes ,,400-850
moura2004,10.1017/S002531540400997Xh,Holocephalimorpha,Chimaera monstrosa,Canary current coast,Portuguese Continental Shelf,,,2002-2003,Male,Growth,Linf,Coefficient,Spines,VBFG3 ML,53.3,raw_value,,,,53,FALSE,0,,,,400-850
moura2004,10.1017/S002531540400997Xh,Holocephalimorpha,Chimaera monstrosa,Canary current coast,Portuguese Continental Shelf,,,2002-2003,Male,Growth,k,Coefficient,Spines,VBFG3 ML,0.14,raw_value,,,,53,FALSE,0,,,,400-850
