species_id,species_name,scientific_name,authorship,iucn_code,superorder,order,family,genus
481,,,Stehmann 1976 ,,,,,
482,,,McEachran & Stehmann 1984 ,,,,,
483,,,"Stehmann, Séret, Costa & Baro 2008 ",,,,,
484,,,Hulley 1972 ,,,,,
485,,,Ishiyama 1958 ,,,,,
486,,,Last & Gledhill 2008 ,,,,,
487,,,Ishihara 1987 ,,,,,
488,,,"Last, Fahmi & Ishihara 2010 ",,,,,
489,,,McEachran & Fechhelm 1982 ,,,,,
490,,,Jordan & Richardson 1909 ,,,,,
491,,,Last & Lim 2010 ,,,,,
492,,,Müller & Henle 1841 ,,,,,
493,,,Last & Gledhill 2008 ,,,,,
494,,,Bleeker 1860 ,,,,,
495,,,"Jeong, Nakabo & Wu 2007 ",,,,,
496,,,Last et al 2016,,,,,
497,,,Last et al 2016,,,,,
498,,,Weigmann 2016,,,,,
499,,,Last et al 2016,,,,,
500,,,Ishiyama 1958 ,,,,,
501,,,Last et al 2016,,,,,
502,,,Capapé 1977 ,,,,,
503,,,Delaroche 1809 ,,,,,
504,,,Weigmann 2016,,,,,
505,,,Last et al 2016,,,,,
506,,,Girard 1855 ,,,,,
507,,,Lafont 1873 ,,,,,
508,,,Last et al 2016,,,,,
509,,,Last et al 2016,,,,,
510,,,Linnaeus 1758 ,,,,,
511,,,Last et al 2016,,,,,
512,,,Last et al 2016,,,,,
513,,,Last et al 2016,,,,,
514,,,Krefft 1965 ,,,,,
515,,,Last et al 2016,,,,,
516,,,Weigmann 2016,,,,,
517,,,Lowe 1838 ,,,,,
518,,,Montagu 1818 ,,,,,
519,,,Linnaeus 1758 ,,,,,
520,,,Fowler 1910 ,,,,,
521,,,Regan 1923 ,,,,,
522,,,Liu 1932 ,,,,,
523,,,Delaroche 1809 ,,,,,
524,,,Last et al 2016,,,,,
525,,,Bougis 1959 ,,,,,
526,,,Weigmann 2016,,,,,
527,,,Last et al 2016,,,,,
528,,,Poll 1951 ,,,,,
529,,,Chandler 1921 ,,,,,
530,,,Lacepéde 1802 ,,,,,
531,,,Chirichigno F. 1973 ,,,,,
532,,,Weigmann 2016,,,,,
533,,,Weber 1913 ,,,,,
534,,,Norman 1935 ,,,,,
535,,,Holt & Byrne 1908 ,,,,,
536,,,Stehmann 1978 ,,,,,
537,,,von Bonde & Swart 1923 ,,,,,
538,,,Last & Stehmann 2008 ,,,,,
539,,,Hulley 1970 ,,,,,
540,,,Long & McCosker 1999 ,,,,,
541,,,Bigelow & Schroeder 1954 ,,,,,
542,,,Lütken 1887 ,,,,,
543,,,Dolganov 1985 ,,,,,
544,,,Last et al 2016,,,,,
545,,,Fries 1839 ,,,,,
546,,,de Buen 1960 ,,,,,
547,,,Bigelow & Schroeder 1962,,,,,
548,,,Hulley 1970 ,,,,,
549,,,Krefft & Stehmann 1974 ,,,,,
550,,,Lacepde 1803 ,,,,,
551,,,Iredale 1938 ,,,,,
552,,,"Díaz de Astarloa, Mabragaña, Hanner & Figueroa 2008 ",,,,,
553,,,Guichenot 1848 ,,,,,
554,,,Last & Gledhill 2007 ,,,,,
555,,,Müller & Henle 1841 ,,,,,
558,,,Latham 1794 ,,,,,
559,,,Linnaeus 1758 ,,,,,
569,,,"Last, Séret & Naylor 2016",,,,,
570,,,"Last, Séret & Naylor 2017",,,,,
571,,,"Last, Séret & Naylor 2018",,,,,
575,,,Last et al 2016,,,,,
577,,,Weigmann 2016,,,,,
582,,,Last et al 2016,,,,,
944,,,Gill 1863 ,,,,,
563,,,Müller & Henle 1841 ,,,,,
564,,,Norman 1926 ,,,,,
565,,,Norman 1926 ,,,,,
566,,,Randall & Compagno 1995 ,,,,,
567,,,Nair & Lal Mohan 1973 ,,,,,
568,,,Norman 1926 ,,,,,
572,,,"Last, Séret & Naylor 2019",,,,,
574,,,"Last, Séret & Naylor 2021",,,,,
576,,,"Last, Séret & Naylor 2021",,,,,
578,,,"Last, Séret & Naylor 2021",,,,,
579,,,"Last, Séret & Naylor 2021",,,,,
583,,,Last et al 2016,,,,,
