openalex_author_id,display_name,institution,country,papers,gender,origin_country,origin_region,ethnicity,inst_city,inst_region,inst_lat,inst_lon
A5106626822,Jeffrey B. Graham,Scripps Institution of Oceanography,US,21,M,GB,Europe,British,La Jolla,California,32.84727,-117.2742
A5025187446,Donald A. Croll,"University of California, Santa Cruz",US,12,M,IE,Europe,Irish,Santa Cruz,NA,36.97412109375,-122.03079986572266
A5003394536,Francesca Pancaldi,Universidad Autónoma de Baja California Sur,MX,11,F,IT,Europe,Italian,La Paz,NA,24.10129737854004,-110.31563568115234
A5013204942,Jonathan J. Dale,Pacific University,US,13,M,GB,Europe,British,Forest Grove,NA,45.51984024047852,-123.11065673828124
A5034793148,Jeffrey D. Plumlee,Louisiana State University Agricultural Center,US,11,M,GB,Europe,British,Baton Rouge,NA,30.44331932067871,-91.187469482421875
A5081725860,Alisa L. Newton,University of Mary,US,11,F,GB,Europe,British,Bismarck,NA,46.80833053588867,-100.7837371826172
A5074675435,J. Ruelas-Inzunza,Mazatlan Professional School of Dance,MX,11,M,EG,Africa,Hispanic,Mazatlán,NA,23.19803047180176,-106.42262268066406
A5033275174,A. Herrera,Instituto Politécnico Nacional,MX,11,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5111433569,John J. Marchalonis,University of Arizona,US,11,M,GR,Europe,Greek,Tucson,Arizona,32.22174,-110.92648
A5070788637,Alberto Sánchez,Instituto Politécnico Nacional,MX,11,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5103098022,Douglas J. Long,California Academy of Sciences,US,12,M,GB,Europe,British,San Francisco,NA,37.77492904663086,-122.41941833496094
A5006923352,Ralph Martin,University of British Columbia,CA,11,M,DE,Europe,French,Vancouver,British Columbia,49.24966,-123.11934
A5003180048,Thomas J. Farrugia,"California State University, Monterey Bay",US,11,M,AT,Europe,French,Seaside,NA,36.61106872558594,-121.85162353515624
A5037267902,Shane P. Griffiths,Inter-American Tropical Tuna Commission,US,10,M,IE,Europe,Irish,La Jolla,California,32.84727,-117.2742
A5084013996,David Corro‐Espinosa,Cultura,MX,10,M,ES,Europe,Hispanic,Mazatlán,NA,23.19548988342285,-106.42272186279295
A5071652330,Daniel M. Coffey,Texas A&M University – Corpus Christi,US,10,M,IE,Europe,Irish,Corpus Christi,NA,27.80057907104492,-97.39637756347656
A5034342780,Elitza S. Germanov,Marine Megafauna Foundation,US,10,F,BG,Europe,Bulgarian,Truckee,California,39.32731246948242,-120.2057876586914
A5112056782,Samuel F. Schluter,University of Arizona,US,10,M,CH,Europe,German,Tucson,Arizona,32.22174,-110.92648
A5072750119,Andrew P. Nosal,Scripps Institution of Oceanography,US,12,M,PL,Europe,Polish,La Jolla,California,32.84727,-117.2742
A5032764674,Gregory W. Stunz,Texas A&M University – Corpus Christi,US,13,M,CH,Europe,Swiss,Corpus Christi,NA,27.80057907104492,-97.39637756347656
A5046896459,Tayler M. Clarke,University of British Columbia,CA,10,F,GB,Europe,British,Vancouver,British Columbia,49.24966,-123.11934
A5020969178,Manuel Uribe‐Alcocer,Universidad Nacional Autónoma de México,MX,10,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5029478461,Shawn Larson,Seattle Aquarium,US,10,M,GB,Europe,Swedish,Seattle,Washington,47.607608795166016,-122.3422393798828
A5049750023,Fabio P. Caltabellotta,Washington Department of Fish and Wildlife,US,10,M,IT,Europe,Italian,Olympia,NA,47.03786849975586,-122.90070343017578
A5039942631,Jennifer S. Bigman,NOAA National Marine Fisheries Service Alaska Fisheries Science Center,US,10,F,GB,Europe,Jewish,Seattle,NA,47.60620880126953,-122.33206939697266
A5081578251,Axayácatl Rocha‐Olivares,Universidad Autónoma de Sinaloa,MX,10,M,PT,Europe,Portuguese,Culiacán,Sinaloa,24.80209,-107.39421
