from,to,weight
A5000344719,A5022589693,1
A5000344719,A5024221214,1
A5000344719,A5024529277,1
A5000344719,A5025808128,1
A5000344719,A5028489146,1
A5000344719,A5030472515,1
A5000344719,A5032674634,1
A5000344719,A5039364694,1
A5000344719,A5040028329,1
A5000344719,A5043273884,1
A5000344719,A5047975781,1
A5000344719,A5049497744,1
A5000344719,A5049735088,1
A5000344719,A5051333159,1
A5000344719,A5056604056,1
A5000344719,A5058164257,4
A5000344719,A5058585761,2
A5000344719,A5058620382,1
A5000344719,A5059545759,2
A5000344719,A5061613678,2
A5000344719,A5066134934,1
A5000344719,A5068490193,1
A5000344719,A5070296223,3
A5000344719,A5070724614,1
A5000344719,A5072384679,3
A5000344719,A5073051309,8
A5000344719,A5074377081,2
A5000344719,A5078678471,1
A5000344719,A5080879931,3
A5000344719,A5083104363,1
A5000344719,A5089740599,1
A5000344719,A5091177134,2
A5000344719,A5091281349,1
A5000344719,A5091351942,1
A5000344719,A5092841917,2
A5000344719,A5110417069,1
A5000344719,A5110949226,2
A5000350410,A5009560000,2
A5000350410,A5013873883,4
A5000350410,A5023191421,1
A5000350410,A5052823454,1
A5000350410,A5058675203,1
A5000350410,A5060652236,4
A5000350410,A5088122292,3
A5000350410,A5091337163,1
A5000350410,A5109410560,3
A5000389720,A5008849151,1
A5000389720,A5011674962,1
A5000389720,A5018648339,1
A5000389720,A5024983512,1
A5000389720,A5027359361,1
A5000389720,A5037051504,3
A5000389720,A5071771204,1
A5000389720,A5084028663,2
A5000396223,A5038542529,1
A5000396223,A5102809458,1
A5000396223,A5113167111,3
A5000409756,A5002623051,2
A5000409756,A5013686592,1
A5000409756,A5019221020,3
A5000409756,A5020017110,4
A5000409756,A5023527868,3
A5000409756,A5024397370,4
A5000409756,A5027033576,1
A5000409756,A5028307368,1
A5000409756,A5033582213,1
A5000409756,A5045366344,13
A5000409756,A5046818765,6
A5000409756,A5053834846,2
A5000409756,A5053959716,1
A5000409756,A5056499319,3
A5000409756,A5067204709,3
A5000409756,A5070756467,6
A5000409756,A5073112910,1
A5000409756,A5082946019,2
A5000409756,A5086399961,1
A5000409756,A5089086900,1
A5000409756,A5090219740,1
A5000409756,A5101870288,2
A5000409756,A5111990162,2
A5000447327,A5007104326,1
A5000447327,A5020269167,1
A5000447327,A5029946623,1
A5000447327,A5044997234,1
A5000447327,A5053519092,1
A5000447327,A5064104060,2
A5000447327,A5072166713,1
A5000447327,A5082013107,2
A5000457533,A5051773791,1
A5000457533,A5059782311,1
A5000457533,A5064856576,1
A5000457533,A5102750760,1
A5000491743,A5001141633,1
A5000491743,A5001392918,1
A5000491743,A5001492899,1
A5000491743,A5001528490,1
A5000491743,A5001946174,1
A5000491743,A5002202134,1
A5000491743,A5002558841,1
A5000491743,A5003081490,1
A5000491743,A5003180048,1
A5000491743,A5003477307,2
A5000491743,A5003873641,1
A5000491743,A5004169486,1
A5000491743,A5005258440,2
A5000491743,A5005752874,1
A5000491743,A5006117162,1
A5000491743,A5006368024,1
A5000491743,A5006467789,1
A5000491743,A5006531303,1
A5000491743,A5006980395,2
A5000491743,A5007075890,1
A5000491743,A5007439405,1
A5000491743,A5009822458,2
A5000491743,A5010853864,1
A5000491743,A5011459721,2
A5000491743,A5011508574,1
A5000491743,A5011699441,2
A5000491743,A5012003756,1
A5000491743,A5012805265,1
A5000491743,A5013100664,2
A5000491743,A5013204942,3
A5000491743,A5013280852,2
A5000491743,A5013358578,2
A5000491743,A5013468995,1
A5000491743,A5014343790,1
